per,tau1,2.5th%,97.5th%,tau2,2.5th%,97.5th%,phi1,2.5th%,97.5th%,phi2,2.5th%,97.5th%
0.19,4.02E-01,2.72E-01,5.33E-01,2.92E-01,2.07E-01,3.77E-01,7.19E-01,6.70E-01,7.69E-01,5.42E-01,5.22E-01,5.62E-01
0.2,3.90E-01,2.62E-01,5.17E-01,2.89E-01,2.05E-01,3.73E-01,7.16E-01,6.67E-01,7.66E-01,5.38E-01,5.19E-01,5.58E-01
0.22,3.82E-01,2.57E-01,5.08E-01,2.75E-01,1.94E-01,3.56E-01,7.20E-01,6.70E-01,7.70E-01,5.38E-01,5.18E-01,5.58E-01
0.24,3.89E-01,2.63E-01,5.15E-01,2.62E-01,1.83E-01,3.40E-01,7.05E-01,6.56E-01,7.54E-01,5.41E-01,5.21E-01,5.61E-01
0.25,3.94E-01,2.67E-01,5.21E-01,2.55E-01,1.78E-01,3.32E-01,6.99E-01,6.50E-01,7.48E-01,5.45E-01,5.25E-01,5.64E-01
0.26,3.94E-01,2.67E-01,5.21E-01,2.49E-01,1.73E-01,3.24E-01,6.95E-01,6.47E-01,7.44E-01,5.46E-01,5.26E-01,5.66E-01
0.28,3.99E-01,2.71E-01,5.27E-01,2.44E-01,1.69E-01,3.19E-01,7.03E-01,6.54E-01,7.52E-01,5.48E-01,5.28E-01,5.68E-01
0.29,4.03E-01,2.74E-01,5.32E-01,2.41E-01,1.66E-01,3.15E-01,7.09E-01,6.59E-01,7.58E-01,5.51E-01,5.31E-01,5.71E-01
0.3,4.06E-01,2.76E-01,5.36E-01,2.37E-01,1.63E-01,3.10E-01,7.11E-01,6.62E-01,7.61E-01,5.55E-01,5.35E-01,5.75E-01
0.32,4.07E-01,2.77E-01,5.37E-01,2.28E-01,1.56E-01,3.00E-01,7.24E-01,6.74E-01,7.74E-01,5.58E-01,5.37E-01,5.78E-01
0.34,4.11E-01,2.80E-01,5.42E-01,2.18E-01,1.48E-01,2.88E-01,7.27E-01,6.77E-01,7.78E-01,5.60E-01,5.39E-01,5.80E-01
0.35,4.17E-01,2.85E-01,5.49E-01,2.13E-01,1.44E-01,2.82E-01,7.32E-01,6.81E-01,7.83E-01,5.59E-01,5.39E-01,5.80E-01
0.36,4.22E-01,2.89E-01,5.55E-01,2.09E-01,1.41E-01,2.77E-01,7.33E-01,6.82E-01,7.84E-01,5.59E-01,5.38E-01,5.79E-01
0.38,4.24E-01,2.91E-01,5.58E-01,2.09E-01,1.41E-01,2.77E-01,7.33E-01,6.82E-01,7.84E-01,5.62E-01,5.42E-01,5.83E-01
0.4,4.23E-01,2.90E-01,5.56E-01,2.05E-01,1.38E-01,2.73E-01,7.30E-01,6.79E-01,7.81E-01,5.66E-01,5.45E-01,5.87E-01
0.42,4.28E-01,2.94E-01,5.62E-01,2.02E-01,1.35E-01,2.69E-01,7.36E-01,6.85E-01,7.87E-01,5.69E-01,5.48E-01,5.90E-01
0.44,4.33E-01,2.98E-01,5.68E-01,2.02E-01,1.35E-01,2.69E-01,7.43E-01,6.91E-01,7.94E-01,5.70E-01,5.49E-01,5.91E-01
0.45,4.35E-01,2.99E-01,5.71E-01,2.02E-01,1.35E-01,2.69E-01,7.48E-01,6.96E-01,8.00E-01,5.70E-01,5.49E-01,5.91E-01
0.46,4.35E-01,2.99E-01,5.70E-01,2.01E-01,1.34E-01,2.67E-01,7.51E-01,6.99E-01,8.03E-01,5.69E-01,5.48E-01,5.90E-01
0.48,4.35E-01,3.00E-01,5.71E-01,2.00E-01,1.34E-01,2.67E-01,7.54E-01,7.02E-01,8.07E-01,5.70E-01,5.49E-01,5.90E-01
0.5,4.35E-01,3.00E-01,5.71E-01,2.01E-01,1.34E-01,2.68E-01,7.56E-01,7.04E-01,8.09E-01,5.75E-01,5.54E-01,5.96E-01
0.55,4.33E-01,2.97E-01,5.68E-01,2.18E-01,1.47E-01,2.88E-01,7.51E-01,6.99E-01,8.04E-01,5.85E-01,5.63E-01,6.06E-01
0.6,4.36E-01,3.00E-01,5.72E-01,2.36E-01,1.61E-01,3.10E-01,7.49E-01,6.96E-01,8.01E-01,5.80E-01,5.59E-01,6.02E-01
0.65,4.37E-01,3.01E-01,5.73E-01,2.56E-01,1.77E-01,3.35E-01,7.34E-01,6.82E-01,7.85E-01,5.85E-01,5.63E-01,6.06E-01
0.667,4.34E-01,2.98E-01,5.69E-01,2.62E-01,1.82E-01,3.43E-01,7.30E-01,6.79E-01,7.82E-01,5.86E-01,5.65E-01,6.08E-01
0.7,4.34E-01,2.98E-01,5.69E-01,2.68E-01,1.87E-01,3.50E-01,7.23E-01,6.72E-01,7.74E-01,5.90E-01,5.69E-01,6.12E-01
0.75,4.45E-01,3.07E-01,5.82E-01,2.68E-01,1.86E-01,3.49E-01,7.18E-01,6.68E-01,7.69E-01,5.89E-01,5.68E-01,6.11E-01
0.8,4.50E-01,3.12E-01,5.88E-01,2.73E-01,1.90E-01,3.55E-01,7.01E-01,6.51E-01,7.51E-01,5.90E-01,5.68E-01,6.11E-01
0.85,4.60E-01,3.20E-01,6.00E-01,2.83E-01,1.98E-01,3.68E-01,6.82E-01,6.33E-01,7.31E-01,5.89E-01,5.68E-01,6.11E-01
0.9,4.66E-01,3.24E-01,6.07E-01,2.90E-01,2.03E-01,3.76E-01,6.79E-01,6.30E-01,7.28E-01,5.88E-01,5.66E-01,6.09E-01
0.95,4.73E-01,3.30E-01,6.16E-01,2.97E-01,2.09E-01,3.84E-01,6.81E-01,6.32E-01,7.30E-01,5.88E-01,5.67E-01,6.10E-01
1,4.78E-01,3.34E-01,6.22E-01,3.04E-01,2.14E-01,3.93E-01,6.80E-01,6.31E-01,7.29E-01,5.90E-01,5.68E-01,6.11E-01
1.1,4.77E-01,3.34E-01,6.21E-01,3.17E-01,2.25E-01,4.10E-01,6.85E-01,6.35E-01,7.34E-01,5.94E-01,5.73E-01,6.16E-01
1.2,4.82E-01,3.37E-01,6.27E-01,3.33E-01,2.37E-01,4.29E-01,6.76E-01,6.27E-01,7.25E-01,5.96E-01,5.75E-01,6.18E-01
1.3,4.84E-01,3.39E-01,6.30E-01,3.34E-01,2.38E-01,4.31E-01,6.64E-01,6.16E-01,7.13E-01,6.05E-01,5.83E-01,6.27E-01
1.4,4.90E-01,3.43E-01,6.36E-01,3.30E-01,2.34E-01,4.26E-01,6.69E-01,6.20E-01,7.19E-01,6.08E-01,5.85E-01,6.30E-01
1.5,4.91E-01,3.45E-01,6.37E-01,3.25E-01,2.30E-01,4.20E-01,6.49E-01,6.01E-01,6.97E-01,6.06E-01,5.84E-01,6.28E-01
1.6,4.93E-01,3.47E-01,6.39E-01,3.21E-01,2.27E-01,4.15E-01,6.34E-01,5.87E-01,6.82E-01,6.09E-01,5.87E-01,6.32E-01
1.7,4.91E-01,3.46E-01,6.37E-01,3.27E-01,2.31E-01,4.23E-01,6.18E-01,5.71E-01,6.64E-01,6.17E-01,5.94E-01,6.39E-01
1.8,4.86E-01,3.41E-01,6.30E-01,3.28E-01,2.32E-01,4.25E-01,6.09E-01,5.63E-01,6.55E-01,6.18E-01,5.96E-01,6.41E-01
1.9,4.76E-01,3.35E-01,6.18E-01,3.25E-01,2.30E-01,4.21E-01,5.99E-01,5.53E-01,6.45E-01,6.22E-01,5.99E-01,6.44E-01
2,4.75E-01,3.34E-01,6.16E-01,3.22E-01,2.27E-01,4.17E-01,5.95E-01,5.49E-01,6.41E-01,6.27E-01,6.05E-01,6.50E-01
2.2,4.66E-01,3.26E-01,6.07E-01,3.40E-01,2.40E-01,4.39E-01,5.97E-01,5.51E-01,6.43E-01,6.26E-01,6.03E-01,6.49E-01
2.4,4.66E-01,3.25E-01,6.06E-01,3.44E-01,2.44E-01,4.44E-01,6.01E-01,5.55E-01,6.48E-01,6.26E-01,6.04E-01,6.49E-01
2.5,4.61E-01,3.21E-01,6.00E-01,3.43E-01,2.43E-01,4.42E-01,6.09E-01,5.61E-01,6.56E-01,6.23E-01,6.00E-01,6.46E-01
2.6,4.51E-01,3.10E-01,5.93E-01,3.41E-01,2.42E-01,4.41E-01,6.24E-01,5.76E-01,6.73E-01,6.17E-01,5.94E-01,6.39E-01
2.8,4.32E-01,2.93E-01,5.70E-01,3.38E-01,2.40E-01,4.37E-01,6.26E-01,5.76E-01,6.75E-01,6.06E-01,5.83E-01,6.28E-01
3,4.35E-01,2.95E-01,5.74E-01,3.36E-01,2.38E-01,4.35E-01,6.07E-01,5.58E-01,6.55E-01,6.04E-01,5.82E-01,6.26E-01
3.2,4.22E-01,2.86E-01,5.59E-01,3.40E-01,2.41E-01,4.39E-01,6.08E-01,5.59E-01,6.58E-01,6.05E-01,5.83E-01,6.27E-01
3.4,4.20E-01,2.82E-01,5.58E-01,3.46E-01,2.45E-01,4.46E-01,6.17E-01,5.66E-01,6.68E-01,6.03E-01,5.81E-01,6.26E-01
3.5,4.26E-01,2.86E-01,5.65E-01,3.43E-01,2.43E-01,4.43E-01,6.04E-01,5.52E-01,6.55E-01,6.05E-01,5.82E-01,6.27E-01
3.6,4.28E-01,2.88E-01,5.68E-01,3.43E-01,2.43E-01,4.43E-01,6.01E-01,5.50E-01,6.53E-01,6.04E-01,5.81E-01,6.26E-01
3.8,4.32E-01,2.90E-01,5.74E-01,3.38E-01,2.39E-01,4.37E-01,6.00E-01,5.48E-01,6.52E-01,6.03E-01,5.81E-01,6.26E-01
4,4.30E-01,2.89E-01,5.72E-01,3.31E-01,2.34E-01,4.29E-01,5.80E-01,5.28E-01,6.33E-01,6.06E-01,5.83E-01,6.28E-01
4.2,4.43E-01,2.98E-01,5.88E-01,3.16E-01,2.19E-01,4.13E-01,5.64E-01,5.10E-01,6.17E-01,5.98E-01,5.76E-01,6.21E-01
4.4,4.47E-01,3.01E-01,5.94E-01,3.14E-01,2.18E-01,4.11E-01,5.58E-01,5.04E-01,6.13E-01,5.99E-01,5.76E-01,6.22E-01
4.6,4.56E-01,3.07E-01,6.05E-01,3.14E-01,2.17E-01,4.11E-01,5.52E-01,4.96E-01,6.09E-01,6.03E-01,5.80E-01,6.26E-01
4.8,4.62E-01,3.09E-01,6.14E-01,3.13E-01,2.16E-01,4.10E-01,5.46E-01,4.88E-01,6.04E-01,6.06E-01,5.83E-01,6.29E-01
